Variable,Description,Upgradable,Cost,Source
1stFlrSF,First Floor square feet,n,,
2ndFlrSF,Second floor square feet,n,,
LowQualFinSF,Low quality finished square feet (all floors),y,37.5 / unfinished square ft,https://smartasset.com/mortgage/the-average-cost-to-finish-a-basement
GrLivArea,Above grade (ground) living area square feet,Tough,2100 to take out non-load bearing wall,https://www.homeadvisor.com/cost/additions-and-remodels/remove-load-bearing-wall/
BsmtFullBath,Basement full bathrooms,y,15000,https://www.angieslist.com/articles/how-much-does-it-cost-add-bathroom.htm
BsmtHalfBath,Basement half bathrooms,y,10000,https://www.angieslist.com/articles/how-much-does-it-cost-add-bathroom.htm
FullBath,Full bathrooms above grade,y,25000,https://www.homeadvisor.com/cost/bathrooms/
HalfBath,Half baths above grade,y,10000,https://www.saniflodepot.com/pages/cost-to-add-small-half-bathroom
BedroomAbvGr,Bedrooms above grade (does NOT include basement bedrooms),n,,
KitchenAbvGr,Kitchens above grade,n,,
KitchenQual,Kitchen quality,y,25095,https://www.homeadvisor.com/cost/kitchens/remodel-a-kitchen/
TotRmsAbvGrd,Total rooms above grade (does not include bathrooms),n,,
Functional,Home functionality (Assume typical unless deductions are warranted),n,,
Fireplaces,Number of fireplaces,n,,
FireplaceQu,Fireplace quality,y,1200,https://www.improvenet.com/r/costs-and-prices/fireplace-remodeling-cost
GarageType,Garage location,y,,
GarageYrBlt,Year garage was built,n,,
GarageFinish,Interior finish of the garage,y,12500,https://www.kompareit.com/homeandgarden/remodel-garage-remodeling.html
GarageCars,Size of garage in car capacity,y,24000,https://homeguide.com/costs/cost-to-build-a-garage
GarageArea,Size of garage in square feet,y,24000,https://homeguide.com/costs/cost-to-build-a-garage
GarageQual,Garage quality,y,12500,https://www.kompareit.com/homeandgarden/remodel-garage-remodeling.html
GarageCond,Garage condition,y,12500,https://www.kompareit.com/homeandgarden/remodel-garage-remodeling.html
PavedDrive,Paved driveway,y,4604,https://www.homeadvisor.com/cost/outdoor-living/install-asphalt-paving/
WoodDeckSF,Wood deck area in square feet,y,6000,https://www.google.com/search?q=average+cost+to+install+wood+deck&oq=acverage+cost+to+install+wooden+de&aqs=chrome.1.69i57j0l7.6968j0j4&sourceid=chrome&ie=UTF-8
OpenPorchSF,Open porch area in square feet,y,21440,https://www.fixr.com/costs/porch-addition
EnclosedPorch,Enclosed porch area in square feet,y,22500,https://www.inchcalculator.com/screen-porch-cost-guide/
3SsnPorch,Three season porch area in square feet,y,30000,https://www.homeadvisor.com/cost/sunrooms/
ScreenPorch,Screen porch area in square feet,y,22500,https://www.inchcalculator.com/screen-porch-cost-guide/
PoolArea,Pool area in square feet,y,35000,https://homeguide.com/costs/inground-pool-cost
PoolQC,Pool quality,y,35000,https://homeguide.com/costs/inground-pool-cost
Fence,Fence quality,y,2500,https://homeguide.com/costs/fence-installation-cost
MiscFeature,Miscellaneous feature not covered in other categories,y,3078,https://www.homeadvisor.com/cost/additions-and-remodels/build-a-barn-shed-or-playhouse/
MiscVal,$Value of miscellaneous feature,n,,
MoSold,Month Sold (MM),n,,
YrSold,Year Sold (YYYY),n,,
SaleType,Type of sale,n,,
SaleCondition,Condition of sale,n,,
SalePrice,,,,
